City,State,Year Built,Bathrooms,Bedrooms,Square Footage,List Price,House Type,City_freq,House Age,House Size
Charles Town,WV,2021.0,2,4,1500.0,377000.0,Townhouse,12,4.0,Medium
Baltimore,MD,2007.0,2,2,1367.0,350000.0,Townhouse,497,18.0,Medium
Silver Spring,MD,1982.0,3,3,1470.0,500000.0,Townhouse,156,43.0,Medium
Mclean,VA,1959.0,5,6,6334.0,1085000.0,Single-Family Home,148,66.0,Large
District Heights,MD,2000.0,4,4,1280.0,340000.0,Townhouse,22,25.0,Small
Elkridge,MD,2007.0,2,2,1400.0,330000.0,Townhouse,5,18.0,Medium
Washington,DC,1944.0,1,1,600.0,137858.0,Apartment/Condo,188,81.0,Small
Triangle,VA,2004.0,5,6,8029.0,1195000.0,Single-Family Home,10,21.0,Large
Arlington,VA,1989.0,1,1,612.0,495500.0,Apartment/Condo,262,36.0,Small
Dunkirk,MD,1970.0,1,3,1942.0,34953.92,Unknown,2,55.0,Medium
National Harbor,MD,2018.0,3,3,1396.0,630000.0,Townhouse,2,7.0,Medium
Frederick,MD,1966.0,2,3,1586.0,635000.0,Townhouse,33,59.0,Medium
Alexandria,VA,1961.0,3,5,1008.0,649000.0,Other,307,64.0,Small
Cheltenham,MD,1986.0,2,4,1942.0,649000.0,Unknown,1,39.0,Medium
Baltimore,MD,1920.0,1,1,1942.0,45000.0,Unknown,497,105.0,Medium
Laurel,MD,1974.0,2,2,920.0,249900.0,Apartment/Condo,65,51.0,Small
Bethesda,MD,2008.0,2,2,1390.0,1090000.0,Townhouse,96,17.0,Medium
Alexandria,VA,1963.0,3,5,3036.0,1224900.0,Single-Family Home,307,62.0,Large
Woodbridge,VA,1975.0,4,3,1500.0,443000.0,Townhouse,156,50.0,Medium
Fairfax,VA,1990.0,2,2,1380.0,35000.0,Townhouse,110,35.0,Medium
Pasadena,MD,1930.0,1,1,1018.0,1000000.0,Other,22,95.0,Small
Dumfries,VA,1982.0,3,5,3325.0,699999.0,Single-Family Home,49,43.0,Large
Laurel,MD,1990.0,2,2,1150.0,294999.0,Townhouse,65,35.0,Small
La Plata,MD,2007.0,2,2,1250.0,339000.0,Townhouse,16,18.0,Small
Baltimore,MD,1954.0,3,4,2470.0,530000.0,Single-Family Home,497,71.0,Medium
Baltimore,MD,1909.0,3,4,1550.0,320000.0,Townhouse,497,116.0,Medium
Annandale,VA,1959.0,1,2,788.0,280000.0,Apartment/Condo,46,66.0,Small
Severn,MD,1920.0,2,3,1500.0,360000.0,Townhouse,12,105.0,Medium
Waldorf,MD,2009.0,4,4,2496.0,600000.0,Single-Family Home,112,16.0,Medium
Alexandria,VA,1966.0,2,2,1200.0,335000.0,Townhouse,307,59.0,Small
Bowie,MD,1990.0,4,4,3500.0,850000.0,Single-Family Home,110,35.0,Large
Columbia,MD,1977.0,2,3,1197.0,314999.0,Townhouse,50,48.0,Small
Baltimore,MD,2006.0,4,3,2100.0,198000.0,Single-Family Home,497,19.0,Medium
Prince Frederick,MD,1986.0,4,4,1942.0,756000.0,Unknown,5,39.0,Medium
Fairfax,VA,2022.0,1,1,890.0,400000.0,Apartment/Condo,110,3.0,Small
Oxon Hill,MD,1954.0,1,3,1040.0,300000.0,Townhouse,7,71.0,Small
Washington,DC,1953.0,1,2,703.0,160000.0,Apartment/Condo,188,72.0,Small
Elkridge,MD,1996.0,2,3,1200.0,165000.0,Townhouse,5,29.0,Small
Alexandria,VA,2015.0,1,1,1942.0,426242.0,Unknown,307,10.0,Medium
Crownsville,MD,1965.0,3,3,1230.0,449000.0,Townhouse,5,60.0,Small
Washington,DC,2006.0,1,1,696.0,418500.0,Apartment/Condo,188,19.0,Small
Columbia,MD,1982.0,1,2,1942.0,250000.0,Unknown,50,43.0,Medium
Baltimore,MD,1920.0,3,3,1342.0,436000.0,Townhouse,497,105.0,Medium
Alexandria,VA,1959.0,2,3,1400.0,669000.0,Townhouse,307,66.0,Medium
Baltimore,MD,1986.0,2,3,1514.0,500000.0,Townhouse,497,39.0,Medium
Baltimore,MD,1988.0,2,2,1458.0,387000.0,Townhouse,497,37.0,Medium
Washington,DC,2023.0,2,2,1200.0,650000.0,Townhouse,188,2.0,Small
Gambrills,MD,2013.0,4,3,2500.0,570000.0,Single-Family Home,5,12.0,Medium
Columbia,MD,1979.0,2,2,1154.0,324900.0,Townhouse,50,46.0,Small
Baltimore,MD,1930.0,1,3,1287.0,165000.0,Townhouse,497,95.0,Medium
Baltimore,MD,1954.0,2,4,2777.0,575000.0,Single-Family Home,497,71.0,Large
Baltimore,MD,1954.0,1,4,2293.0,598500.0,Single-Family Home,497,71.0,Medium
Baltimore,MD,1949.0,3,4,1500.0,385000.0,Townhouse,497,76.0,Medium
Silver Spring,MD,1955.0,3,6,1600.0,849999.0,Other,156,70.0,Medium
Perry Hall,MD,2004.0,2,2,1587.0,380000.0,Townhouse,9,21.0,Medium
Port Tobacco,MD,1986.0,1,3,1942.0,34953.92,Unknown,1,39.0,Medium
Gainesville,VA,2005.0,4,5,4950.0,890000.0,Single-Family Home,37,20.0,Large
Baltimore,MD,1956.0,1,3,1200.0,150000.0,Townhouse,497,69.0,Small
Alexandria,VA,1986.0,2,3,1942.0,431000.0,Unknown,307,39.0,Medium
Baltimore,MD,1900.0,3,3,1942.0,200000.0,Unknown,497,125.0,Medium
Silver Spring,MD,1948.0,1,1,701.0,215000.0,Apartment/Condo,156,77.0,Small
Baltimore,MD,1965.0,2,3,1184.0,261200.0,Townhouse,497,60.0,Small
White Plains,MD,2001.0,2,3,1880.0,360000.0,Single-Family Home,5,24.0,Medium
Rock Hall,MD,1986.0,5,6,5200.0,1100000.0,Single-Family Home,6,39.0,Large
Baltimore,MD,1986.0,3,3,1857.0,440000.0,Single-Family Home,497,39.0,Medium
Baltimore,MD,1986.0,3,3,1456.0,225000.0,Townhouse,497,39.0,Medium
Baltimore,MD,1986.0,1,2,1046.0,49900.0,Townhouse,497,39.0,Small
Bowie,MD,1986.0,3,3,2328.0,499000.0,Single-Family Home,110,39.0,Medium
Washington,DC,2019.0,2,3,1195.0,739500.0,Townhouse,188,6.0,Small
Washington,DC,1950.0,1,1,775.0,389500.0,Apartment/Condo,188,75.0,Small
Sandy Spring,MD,2023.0,5,6,4940.0,1300000.0,Single-Family Home,2,2.0,Large
Silver Spring,MD,1985.0,2,3,1020.0,400000.0,Townhouse,156,40.0,Small
Eldersburg,MD,2001.0,2,2,1050.0,325000.0,Townhouse,2,24.0,Small
Reston,VA,1985.0,2,2,1045.0,419000.0,Townhouse,47,40.0,Small
Baltimore,MD,1970.0,4,5,3900.0,759000.0,Single-Family Home,497,55.0,Large
Lutherville Timonium,MD,2002.0,2,2,1818.0,535000.0,Other,21,23.0,Medium
West Friendship,MD,1950.0,2,2,1447.0,550000.0,Townhouse,4,75.0,Medium
Baltimore,MD,1900.0,2,3,1120.0,230000.0,Townhouse,497,125.0,Small
Columbia,MD,1986.0,3,3,1104.0,320000.0,Townhouse,50,39.0,Small
Baltimore,MD,1986.0,1,3,1942.0,40000.0,Unknown,497,39.0,Medium
Gaithersburg,MD,1974.0,2,4,2116.0,378000.0,Single-Family Home,94,51.0,Medium
Severna Park,MD,1983.0,4,5,2500.0,740000.0,Single-Family Home,16,42.0,Medium
Silver Spring,MD,1950.0,2,4,1430.0,400000.0,Townhouse,156,75.0,Medium
Germantown,MD,2002.0,4,4,2856.0,725000.0,Single-Family Home,16,23.0,Large
Lothian,MD,1980.0,2,2,1942.0,109000.0,Unknown,4,45.0,Medium
Rockville,MD,1985.0,3,3,1560.0,660000.0,Townhouse,84,40.0,Medium
Potomac,MD,1966.0,3,5,1592.0,1000000.0,Other,36,59.0,Medium
Hanover,MD,1996.0,2,2,950.0,55000.0,Apartment/Condo,8,29.0,Small
Fairfax,VA,1982.0,4,5,2900.0,920000.0,Single-Family Home,110,43.0,Large
Owings,MD,1977.0,1,2,1000.0,75000.0,Townhouse,1,48.0,Small
District Heights,MD,1964.0,1,1,678.0,88000.0,Apartment/Condo,22,61.0,Small
Waldorf,MD,1997.0,4,3,2535.0,437000.0,Single-Family Home,112,28.0,Large
Mount Airy,MD,1990.0,2,3,1400.0,549000.0,Townhouse,7,35.0,Medium
Washington,DC,1921.0,3,3,1440.0,1200000.0,Townhouse,188,104.0,Medium
Clarksburg,MD,2004.0,4,5,5305.0,1010000.0,Single-Family Home,8,21.0,Large
Brunswick,MD,1910.0,2,3,1299.0,340000.0,Townhouse,3,115.0,Medium
Columbia,MD,1971.0,3,3,1800.0,550000.0,Single-Family Home,50,54.0,Medium
Sumerduck,VA,2021.0,3,3,2750.0,749000.0,Single-Family Home,3,4.0,Large
Rock Hall,MD,2017.0,1,2,672.0,65000.0,Apartment/Condo,6,8.0,Small
